id,name,text,trans
2003021110010,めぐる,おはよう、プロデューサー！,早上好，制作人！
0000000000000,プロデューサー,おはようめぐる\n時間ぴったり──,早上好，巡\n时间刚刚好──
2003021110020,めぐる,──あっ！,──啊！
0000000000000,プロデューサー,ど、どうした？\n忘れ物か？,怎、怎么了？\n忘记什么东西了吗？
2003021110030,めぐる,あっ、ううん\nそれは大丈夫！,啊，没有\n没什么问题！
2003021110040,めぐる,いきなり大きな声を出してごめんなさい！\nなんでもないよ,抱歉突然发出很大的声音！\n没什么事啦
0000000000000,プロデューサー,そうか……？\n……言いづらいことなら無理には聞かないけど──,是吗……？\n……要是不方便说的话，我倒也不会勉强你──
0000000000000,プロデューサー,っと、時間か,哦，到时间了
0000000000000,プロデューサー,今日はこのままドラマの撮影スタジオに向かうけど\n途中コンビニくらいなら寄れるから,今天我们直接去电视剧的摄影棚\n不过路上还能顺便去趟便利店之类的
0000000000000,プロデューサー,飲み物とか、何か用事があれば\n遠慮せずに教えてくれ,如果需要饮料，或者别的什么事\n直接告诉我就行别客气
2003021110050,めぐる,はーい！,好——！
0000000000000,スタッフ,それじゃあ、撮影再開の５分前には\nスタジオにお願いします！,各位，请在重新开拍前五分钟\n到摄影棚集合！
2003021110060,めぐる,わかりました！,明白了！
0000000000000,プロデューサー,撮影お疲れ様\n調子が良さそうだって監督さんが言ってたよ,拍摄辛苦了\n导演说你状态看起来不错
2003021110070,めぐる,ほんと！？,真的吗！？
2003021110080,めぐる,今日の撮影大丈夫かなって\nドキドキしてたから……よかったぁ,我一直在想今天拍摄能不能顺利，紧张得不行\n……太好了
0000000000000,プロデューサー,……何か、心配なことがあったのか？,……是有什么担心的事吗？
2003021110090,めぐる,うーん……あったけど……\n今朝ね、プロデューサーに会った時に解決したんだ,嗯……是有啦……\n不过，今天早上见到制作人的时候就解决了
0000000000000,プロデューサー,今朝ってことは……\n出発する前のあの時？,今天早上……\n是出发前那会儿吗？
2003021110100,めぐる,そうそう！\n大きな声出しちゃった時！,对对！\n就是我突然喊出声那个时候！
0000000000000,プロデューサー,ちなみに、どんな悩みだったかは\n聞いて大丈夫か？,顺便问问，是什么样的烦恼呢\n现在方便说吗？
2003021110110,めぐる,あ、うん！,啊，嗯！
2003021110120,めぐる,この後、相手役の人に告白するシーンを撮るでしょ？,就是之后，要拍和对手戏演员表白的场景对吧？
2003021110130,めぐる,そこでわたしが……\nヒロインが言う告白の台詞があるんだけど,那个地方我有一句……\n女主角有一句表白的台词要说
2003021110140,めぐる,なんでこの言い方にしたのかなーって、\n考えてたんだ,我当时一直在想\n为什么要选这种说法呢？
0000000000000,プロデューサー,少し遠回しな言葉で\n告白するんだったか,是用了有点委婉的话\n来告白的那句吗？
2003021110150,めぐる,うん。直接『好き』って言わないで\n自分の気持ちを伝えるの,嗯。不是直接说“喜欢”\n而是把自己的心意传达给对方
2003021110160,めぐる,ヒロインの選んだ言葉はとっても綺麗で、\n素敵だなって思うし,女主角选的那句话很优美，\n我也觉得很棒
2003021110170,めぐる,それがヒロインらしさなんだって\nわかってるんだけど……でも……,虽然我也明白\n那就是女主角自己的风格……可是……
2003021110180,めぐる,もしかすると、この言葉が『好き』って意味だって\n伝わらないこともあるかもって気になって……,我有点在意，也许这句话有时候传达不到位\n不会被对方理解成“喜欢”……
0000000000000,プロデューサー,言われてみれば、そうだよな,听你这么说，确实是这样
0000000000000,プロデューサー,もし俺が実際この台詞を言われたとしても\n告白だと受け取れるかどうかは半々かもしれない,如果换成我实际听到这句台词\n把它当成表白的可能性，也只有一半左右吧
0000000000000,プロデューサー,……けど、その悩みが解決したことが\n俺とどう関係するんだ……？,……不过，这个烦恼的解决\n和我有什么关系呢……？
2003021110190,めぐる,えへへ、あのね\nわたしがプロデューサーを信じてる気持ちと一緒かもって！,嘿嘿，那个\n我觉得，也许和我信任制作人的感觉是一样的！
0000000000000,プロデューサー,というと……？,怎么说……？
2003021110200,めぐる,えっとね……プロデューサーは、\nわたしのつたない言葉でもまずは最後まで聞いて,嗯……制作人总是\n会一直把我笨拙的话听到最后讲完
2003021110210,めぐる,それで、何が言いたいのかな\nどんな気持ちなのかなって考えてくれるでしょ？,然后去想，我到底想说什么\n还有我心里是什么感觉，对吧？
2003021110220,めぐる,だからわたし、プロデューサーとお喋りする時\n気持ちをそのまま伝えていいんだって安心出来るんだ,所以呢，和制作人聊天的时候\n我可以很放心地直接表达自己的感受
2003021110230,めぐる,それで、ヒロインもわたしと同じように,然后，我想女主角或许也和我一样
2003021110240,めぐる,相手の男の子になら\nこの言い方でも伝わるって信じてるのかもって！,觉得对于那个男孩子\n就算用这种说法告诉他，也一定能理解到！
0000000000000,プロデューサー,……そうか……\n確かに、そういう信頼ありきでの言葉なら伝わりそうだ,……这样啊……\n确实，要是有这种信任在，想表达的应该能传达给对方
2003021110250,めぐる,ね！,对吧！
0000000000000,プロデューサー,……なぁめぐる,……小巡
0000000000000,プロデューサー,俺もめぐるを、めぐるの言葉を信じる気持ちがあるから\n話を聞きたい、聞こうと思えるんだ,我也是因为相信着巡、相信巡说的话\n所以想听你讲话，愿意好好听下去
0000000000000,プロデューサー,いい機会だから……\n俺がそう思ってることも知っておいてくれたら嬉しいよ,趁着这个机会……\n要是巡也能知道我是这么想的，我会很高兴
2003021110260,めぐる,！,！
2003021110270,めぐる,……うん！,……嗯！
info,produce_events/200302111.json,,
译者,ミナカゼ,,
